"PROBEID","ENTREZID"
"1","1007_s_at","780"
"2","1007_s_at","100616237"
"3","1053_at","5982"
"4","117_at","3310"
"5","121_at","7849"
"6","1255_g_at","2978"
"7","1294_at","7318"
"8","1294_at","100847079"
"9","1316_at","7067"
"10","1320_at","11099"
"11","1405_i_at","6352"
"12","1431_at","1571"
"13","1438_at","2049"
"14","1487_at","2101"
"15","1494_f_at","1548"
"16","1598_g_at","2621"
"17","160020_at","4323"
"18","1729_at","8717"
"19","1773_at","2342"
"20","1773_at","100529261"
"21","177_at","5337"
"22","179_at","441263"
"23","1861_at","572"
"24","200000_s_at","10594"
"25","200001_at","826"
"26","200002_at","11224"
"27","200003_s_at","6158"
"28","200003_s_at","102465483"
"29","200004_at","1982"
"30","200005_at","8664"
"31","200006_at","11315"
"32","200007_at","6727"
"33","200008_s_at","2665"
"34","200009_at","2665"
"35","200010_at","6135"
"36","200011_s_at","377"
"37","200012_x_at","6144"
"38","200012_x_at","26771"
"39","200012_x_at","619499"
"40","200012_x_at","100131205"
"41","200013_at","6152"
"42","200014_s_at","3183"
"43","200015_s_at","4735"
"44","200016_x_at","3178"
"45","200016_x_at","664709"
"46","200017_at","6233"
"47","200018_at","6207"
"48","200018_at","85388"
"49","200019_s_at","2197"
"50","200020_at","23435"
"51","200021_at","1072"
"52","200022_at","6141"
"53","200023_s_at","8665"
"54","200024_at","6193"
"55","200025_s_at","6155"
"56","200026_at","6164"
"57","200027_at","4677"
"58","200028_s_at","56910"
"59","200029_at","6143"
"60","200030_s_at","5250"
"61","200031_s_at","6205"
"62","200031_s_at","84546"
"63","200032_s_at","6133"
"64","200033_at","1655"
"65","200033_at","100616387"
"66","200033_at","100616408"
"67","200034_s_at","6128"
"68","200035_at","23399"
"69","200036_s_at","4736"
"70","200037_s_at","11335"
"71","200038_s_at","6139"
"72","200038_s_at","26790"
"73","200038_s_at","26791"
"74","200038_s_at","497661"
"75","200038_s_at","100124516"
"76","200038_s_at","100526842"
"77","200039_s_at","5690"
"78","200040_at","10657"
"79","200041_s_at","7919"
"80","200041_s_at","692199"
"81","200041_s_at","100532737"
"82","200042_at","51493"
"83","200043_at","2079"
"84","200044_at","8683"
"85","200044_at","283459"
"86","200045_at","23"
"87","200046_at","1603"
"88","200047_s_at","7528"
"89","200048_s_at","10899"
"90","200049_at","11143"
"91","200050_at","7705"
"92","200051_at","9092"
"93","200052_s_at","3608"
"94","200053_at","9552"
"95","200054_at","8882"
"96","200055_at","6881"
"97","200056_s_at","10438"
"98","200057_s_at","4841"
"99","200058_s_at","23020"
"100","200058_s_at","101929240"
"101","200059_s_at","387"
"102","200060_s_at","10921"
"103","200061_s_at","6229"
"104","200062_s_at","6156"
"105","200063_s_at","4869"
"106","200064_at","3326"
"107","200065_s_at","375"
"108","200065_s_at","100500810"
"109","200066_at","3550"
"110","200067_x_at","8724"
"111","200068_s_at","821"
"112","200069_at","9733"
"113","200070_at","27013"
"114","200071_at","10285"
"115","200072_s_at","4670"
"116","200073_s_at","3184"
"117","200074_s_at","9045"
"118","200075_s_at","2987"
"119","200076_s_at","79036"
"120","200077_s_at","4946"
"121","200078_s_at","533"
"122","200079_s_at","3735"
"123","200080_s_at","3020"
"124","200080_s_at","3021"
"125","200080_s_at","440926"
"126","200081_s_at","6194"
"127","200082_s_at","6201"
"128","200083_at","23326"
"129","200084_at","10944"
"130","200085_s_at","6923"
"131","200086_s_at","1327"
"132","200087_s_at","10959"
"133","200088_x_at","6136"
"134","200088_x_at","65065"
"135","200089_s_at","6124"
"136","200089_s_at","595097"
"137","200089_s_at","595098"
"138","200089_s_at","595099"
"139","200089_s_at","595100"
"140","200090_at","2339"
"141","200091_s_at","6230"
